property,apartment_code,gender_allowed,bed_code,bed_type,toilet_type,bed_status,bed_lifecycle_status,current_rate
Vista Heights,C43,Female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,C43,Female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,C43,Female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,C43,Female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,C43,Female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,C44,male,A1,Single,Common,Live,occupied,19500.00
Vista Heights,C44,male,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,C44,male,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,C44,male,C1,Double,Common,Live,vacant,15500.00
Vista Heights,C44,male,C2,Double,Common,Live,vacant,15500.00
Vista Heights,D11,Female,B1,Single,Attached,Live,occupied,19500.00
Vista Heights,D11,Female,C1,Double,Attached,Live,occupied,15500.00
Vista Heights,D11,Female,C2,Double,Attached,Live,occupied,15500.00
Vista Heights,D11,Female,D1,Triple,Attached,Live,occupied,13500.00
Vista Heights,D11,Female,D2,Triple,Attached,Live,occupied,13500.00
Vista Heights,D11,Female,D3,Triple,Attached,Live,vacant,13500.00
Vista Heights,D12,Female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,D12,Female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,D12,Female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,D12,Female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,D12,Female,C2,Double,Common,Live,occupied,15500.00
Vista Heights,D15,male,A1,Executive,Attached,Live,occupied,25500.00
Vista Heights,D21,Female,A1,Single,Attached,Live,occupied,19500.00
Vista Heights,D21,Female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,D21,Female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,D21,Female,C1,Triple,Attached,Live,occupied,13500.00
Vista Heights,D21,Female,C2,Triple,Attached,Live,occupied,13500.00
Vista Heights,D21,Female,C3,Triple,Attached,Live,occupied,13500.00
Vista Heights,D41,Female,A1,Single,Common,Live,occupied,19500.00
Vista Heights,D41,Female,B1,Double,Attached,Live,occupied,15500.00
Vista Heights,D41,Female,B2,Double,Attached,Live,occupied,15500.00
Vista Heights,D41,Female,C1,Double,Common,Live,occupied,15500.00
Vista Heights,D41,Female,C2,Double,Common,Live,occupied,15500.00
