tenant_id,segment,tenure_months,total_billed,avg_rent,unpaid_ratio,invoices,ltv_paid
165afd93-a066-8794-7ade-f62b1ffbbc9e,1,16,348731.0,19876.8125,0.125,16,319578.0
1735b216-e690-abb3-a111-08e624ab0313,0,8,175359.0,20113.25,0.0,8,175359.0
17407c57-bdbb-d58e-287b-cd2beace210b,0,1,2250.0,0.0,1.0,1,0.0
17a9f5c0-3169-c1d1-2c86-69aedb982d69,0,8,107736.0,12500.0,0.0,8,107736.0
17d13989-4f37-42a8-1eb2-88b2df3a9692,0,9,136303.0,13438.444444444445,0.0,9,136303.0
17dd0f21-a84d-a57c-7de4-9d5897c7181b,1,16,229806.0,13043.3125,0.0625,16,220143.0
184aad86-c460-d78c-0f04-fd69a75fdb16,0,1,17750.0,15500.0,0.0,1,17750.0
18788fe2-f6a2-826e-2199-6cec118c6d00,1,26,409836.0,14337.807692307691,0.11538461538461539,26,369710.0
18c2af76-2687-f1b7-a5f5-b709b086e568,0,7,103632.0,13051.714285714286,0.0,7,103632.0
18d86801-3cb7-11d4-8b9d-433429296014,1,30,515206.0,15000.0,0.1,30,460478.0
18f93ace-b7ec-14e9-343f-8763f4d28b68,0,1,2250.0,0.0,1.0,1,0.0
190cae44-33ef-8fc1-f07a-fb84a1b78bdf,0,3,50478.0,15000.0,0.0,3,50478.0
19214e19-efc4-4eea-8118-944c998e3ab6,0,3,36995.0,10500.0,0.6666666666666666,3,2500.0
1932ea80-c6eb-874e-eca8-12410fa7a608,1,19,276062.0,13394.736842105263,0.15789473684210525,19,230823.0
19671dd1-2ae5-3bf1-7fae-a3d02cea1da7,0,1,12978.0,9023.0,1.0,1,0.0
1995b0ce-cc80-52dd-8dec-a01a2456659e,0,2,27681.0,11925.0,0.0,2,27681.0
19c28562-8f4e-ad03-b1ee-26dd6da4b20b,0,3,34465.0,9028.0,0.0,3,34465.0
1a171004-7682-1c39-e6a2-758b668c33b0,0,7,115441.0,15511.57142857143,0.42857142857142855,7,57285.0
1a3b6c74-26e1-7124-0b5c-7f783d71624d,0,7,101343.0,13142.857142857143,0.42857142857142855,7,64484.0
1ad64726-e22e-ccd3-33f8-62a4e4b609fc,0,3,20550.0,5880.333333333333,0.0,3,20550.0
1b003ea3-bdcb-0416-c3c2-8ff60f2f65f5,1,15,255854.0,15366.666666666666,0.2,15,202076.0
1b7a8ca2-dcfa-864b-b6f3-f5e53beb8da0,0,3,57028.0,17550.0,0.0,3,57028.0
1bc4b026-982f-f9e0-a489-376a60455dae,0,1,23389.0,19000.0,0.0,1,23389.0
1bc75090-ac1a-44a6-bb22-f211aca7c760,0,2,40190.0,19000.0,0.5,2,19000.0
1c02145c-b1d1-097d-f8dc-3bf629411369,0,1,2250.0,0.0,1.0,1,0.0
1c15f311-412b-2817-f3a4-3ec5e516eaa9,0,1,13152.0,10902.0,0.0,1,13152.0
1c74a5be-5679-ca11-8401-ae199550c95e,0,12,147805.0,10972.5,0.0,12,147805.0
1cae2ebd-8a9f-1738-4dc0-87dd4156d5ad,0,9,63595.0,11383.8,0.0,5,63595.0
1cceb815-84d9-5ecc-2d59-11734f1bc703,0,3,55498.0,16723.333333333332,0.0,3,55498.0
1d4c0119-5151-7a5b-2266-f16e44f67157,0,13,191313.0,13331.538461538461,0.23076923076923078,13,145082.0
1dc2bdca-ae79-4cd5-9d74-961c02cce282,0,4,81454.0,18850.0,1.0,4,0.0
1df57eb4-c786-95e5-490c-5a8f8084e780,0,8,66801.0,9413.333333333334,0.16666666666666666,6,64551.0
1e040078-32fc-f90a-7fd5-42b8161a6605,0,1,2250.0,0.0,1.0,1,0.0
1e6f84f8-d2d4-2602-e11e-bf9f79587a60,0,7,89690.0,11849.285714285714,0.0,7,89690.0
1eb13d75-4e74-34de-0d7a-6936b746e12e,0,5,110638.0,20849.6,0.0,5,110638.0
1f386b6c-673b-b4f5-5a19-10e9869fcb75,0,6,96381.0,14111.5,0.0,6,96381.0
1f48149b-910c-401b-9638-49f13af032f1,0,2,19570.0,8525.0,1.0,2,0.0
1fc0c3bb-f35c-8d5d-a4fa-a9c1723cd8ab,1,40,564005.0,13137.076923076924,0.10256410256410256,39,514366.0
1fc1a662-a030-9232-239c-2a7b1b7a44b4,0,2,37892.0,17161.0,0.0,2,37892.0
2030f84c-59a8-b777-417a-20c355e3c18b,0,1,2250.0,0.0,1.0,1,0.0
209b2e7d-1ecd-5bd0-e15d-1e8b8fa305e3,0,7,105991.0,13371.42857142857,0.0,7,105991.0
21e237d1-286e-324e-0cef-45725d629768,0,8,134841.0,15062.5,0.375,8,80932.0
227f376b-633a-5615-5670-c29559d0a08b,1,28,470287.0,14910.714285714286,0.03571428571428571,28,453317.0
22a9494d-0e02-6fba-4aee-7947f1e6110b,1,23,383848.0,15152.173913043478,0.13043478260869565,23,331403.0
22b0be2d-52c5-1127-642d-4f1083b404ca,0,8,150045.0,17848.75,0.375,8,86931.0
22b72d22-cdf8-d918-1731-0c3954f2f732,0,1,2250.0,0.0,1.0,1,0.0
22bbdd04-7c21-e7b1-a74d-049f16aea9a0,0,3,46939.0,14129.0,0.3333333333333333,3,34691.0
2353dec8-b65d-637c-b2fe-0cd93ee91530,0,6,73056.0,10421.5,0.0,6,73056.0
2371838e-ccdb-787c-4fcf-71f0be68084b,0,2,18341.0,7109.5,0.0,2,18341.0
238b347e-e7e9-b1a3-31a8-a2f8fed99f55,1,19,495745.0,24532.21052631579,0.15789473684210525,19,412209.0
23f7ef5f-6b26-a104-b616-b438d7e9243c,1,37,437271.0,13013.1,0.1,30,389561.0
24ae889b-240e-b064-cfe8-2b27224c15b0,1,23,474666.0,18634.782608695652,0.0,23,474666.0
251051cf-e3b5-5d37-918f-bf22b4875790,1,23,367711.0,14063.95652173913,0.13043478260869565,23,325548.0
257579ca-bef0-99b8-f916-e518891ffdab,0,3,95971.0,30968.333333333332,0.6666666666666666,3,28904.0
