apartment_code,billing_period,amount_forecast,units_forecast,amount_method,amount_mape
D21,2026-08,9624.6,830.0,holt_winters,29.39
D21,2026-09,9827.4,847.5,holt_winters,29.39
D21,2026-10,11214.4,977.3,holt_winters,29.39
D21,2026-11,9968.2,863.8,holt_winters,29.39
D21,2026-12,8063.8,694.5,holt_winters,29.39
D23B,2026-07,-3327.3,-305.9,linear_seasonal,
D23B,2026-08,10755.6,973.7,linear_seasonal,
D23B,2026-09,-2240.9,-207.4,linear_seasonal,
D23B,2026-10,-2075.1,-192.6,linear_seasonal,
D23B,2026-11,-2398.3,-221.9,linear_seasonal,
D23B,2026-12,-1516.3,-146.1,linear_seasonal,
D41,2026-07,8976.2,768.7,linear_seasonal,33.76
D41,2026-08,9108.5,782.0,linear_seasonal,33.76
D41,2026-09,7406.7,631.9,linear_seasonal,33.76
D41,2026-10,5884.8,498.1,linear_seasonal,33.76
D41,2026-11,6216.2,525.7,linear_seasonal,33.76
D41,2026-12,3861.5,318.6,linear_seasonal,33.76
