property,apartment_code,gender_allowed,bed_code,bed_type,toilet_type,bed_status,bed_lifecycle_status,current_rate,is_occupied,on_notice,is_vacant
Vista Heights,C41,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C41,male,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C41,male,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C41,male,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C41,male,C2,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C41,male,D1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,C42,female,A1,Single,Common,Live,booked,19500.0,0,0,0
Vista Heights,C42,female,B1,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C42,female,B2,Double,Attached,Live,notice,15500.0,0,1,0
Vista Heights,C42,female,C1,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C42,female,C2,Double,Common,Live,notice,15500.0,0,1,0
Vista Heights,C43,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C43,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C43,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C43,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C43,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,C44,male,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,C44,male,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C44,male,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,C44,male,C1,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,C44,male,C2,Double,Common,Live,vacant,15500.0,0,0,1
Vista Heights,D11,female,B1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,D11,female,C1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D11,female,C2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D11,female,D1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D11,female,D2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D11,female,D3,Triple,Attached,Live,vacant,13500.0,0,0,1
Vista Heights,D12,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,D12,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D12,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D12,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,D12,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,D15,male,A1,Executive,Attached,Live,occupied,25500.0,1,0,0
Vista Heights,D21,female,A1,Single,Attached,Live,occupied,19500.0,1,0,0
Vista Heights,D21,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D21,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D21,female,C1,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D21,female,C2,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D21,female,C3,Triple,Attached,Live,occupied,13500.0,1,0,0
Vista Heights,D41,female,A1,Single,Common,Live,occupied,19500.0,1,0,0
Vista Heights,D41,female,B1,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D41,female,B2,Double,Attached,Live,occupied,15500.0,1,0,0
Vista Heights,D41,female,C1,Double,Common,Live,occupied,15500.0,1,0,0
Vista Heights,D41,female,C2,Double,Common,Live,occupied,15500.0,1,0,0
